,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2018-01-11,335.19270035298763,-4.575823076840321,228.1056016709175,335.19270035298763,335.19270035298763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-221.18288665252706,-221.18288665252706,-221.18288665252706,0.0,0.0,0.0,-3.7626809265639967,-3.7626809265639967,-3.7626809265639967,-217.42020572596306,-217.42020572596306,-217.42020572596306,0.0,0.0,0.0,114.00981370046057
11,2018-01-12,336.2640340438574,-12.142378142476367,203.27740351975842,336.2640340438574,336.2640340438574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-235.04813845340695,-235.04813845340695,-235.04813845340695,0.0,0.0,0.0,-20.842834908524058,-20.842834908524058,-20.842834908524058,-214.2053035448829,-214.2053035448829,-214.2053035448829,0.0,0.0,0.0,101.21589559045046
12,2018-01-13,337.3353677347272,-81.53691894254746,152.39272707332665,337.3353677347272,337.3353677347272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-298.7097017910052,-298.7097017910052,-298.7097017910052,0.0,0.0,0.0,-87.94094704265588,-87.94094704265588,-87.94094704265588,-210.76875474834932,-210.76875474834932,-210.76875474834932,0.0,0.0,0.0,38.62566594372197
13,2018-01-14,338.40670142559696,-79.83605791433426,141.22228694440295,338.40670142559696,338.40670142559696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-304.0510613497189,-304.0510613497189,-304.0510613497189,0.0,0.0,0.0,-96.86858840523354,-96.86858840523354,-96.86858840523354,-207.18247294448537,-207.18247294448537,-207.18247294448537,0.0,0.0,0.0,34.35564007587806
14,2018-01-15,339.4780351164667,10.079113457607304,241.79060570707563,339.4780351164667,339.4780351164667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.46971913293835,-110.46971913293835,-110.46971913293835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-214.02428369176923,-214.02428369176923,-214.02428369176923,-110.46971913293835,-110.46971913293835,-110.46971913293835,99.97155181622648,99.97155181622648,99.97155181622648,-203.52611637505734,-203.52611637505734,-203.52611637505734,0.0,0.0,0.0,125.45375142469746
15,2018-01-16,340.54936880733646,102.18588089824898,325.15193214404974,340.54936880733646,340.54936880733646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127.11776560832499,-127.11776560832499,-127.11776560832499,0.0,0.0,0.0,72.76740485331368,72.76740485331368,72.76740485331368,-199.88517046163867,-199.88517046163867,-199.88517046163867,0.0,0.0,0.0,213.43160319901148
16,2018-01-17,341.6207024982063,64.9551890696644,298.70099265692414,341.6207024982063,341.6207024982063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159.67267837900542,-159.67267837900542,-159.67267837900542,0.0,0.0,0.0,36.67609461335053,36.67609461335053,36.67609461335053,-196.34877299235595,-196.34877299235595,-196.34877299235595,0.0,0.0,0.0,181.94802411920088
17,2018-01-18,342.692036189076,32.12329077254979,258.7454924629162,342.692036189076,342.692036189076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-196.77001617977703,-196.77001617977703,-196.77001617977703,0.0,0.0,0.0,-3.762680926726352,-3.762680926726352,-3.762680926726352,-193.00733525305068,-193.00733525305068,-193.00733525305068,0.0,0.0,0.0,145.922020009299
18,2018-01-19,343.7633698799458,22.991288426898837,243.108856397159,343.7633698799458,343.7633698799458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.79285486413735,-210.79285486413735,-210.79285486413735,0.0,0.0,0.0,-20.84283490847773,-20.84283490847773,-20.84283490847773,-189.9500199556596,-189.9500199556596,-189.9500199556596,0.0,0.0,0.0,132.97051501580845
19,2018-01-20,344.8347035708156,-45.67408664525101,182.43620574597088,344.8347035708156,344.8347035708156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-275.203089839102,-275.203089839102,-275.203089839102,0.0,0.0,0.0,-87.94094704282736,-87.94094704282736,-87.94094704282736,-187.26214279627462,-187.26214279627462,-187.26214279627462,0.0,0.0,0.0,69.63161373171357
