,ds,yhat,yhat_lower,yhat_upper,y,cutoff
0,2019-01-21 00:00:00,273.8607241167015,-119.94899989320528,652.9100867363766,376,2019-01-19 18:00:00
1,2019-01-28 00:00:00,294.02970258576806,-105.61513183039105,674.5296832862583,267,2019-01-19 18:00:00
2,2019-02-04 00:00:00,204.08367794964954,-184.69752507149832,592.6317502552542,75,2019-01-19 18:00:00
3,2019-02-11 00:00:00,63.588419599769736,-313.39060141678783,432.25989425511756,111,2019-01-19 18:00:00
4,2019-02-18 00:00:00,144.1620906671369,-219.59867713066893,548.1889786035218,156,2019-01-19 18:00:00
5,2019-02-25 00:00:00,157.15286188057235,-245.14899681022592,492.09969197432406,267,2019-01-19 18:00:00
6,2019-03-04 00:00:00,250.5759451724051,-120.60665946650848,649.0540259023221,245,2019-01-19 18:00:00
7,2019-03-11 00:00:00,272.11176387195974,-121.97097565200019,659.5070869411519,331,2019-01-19 18:00:00
8,2019-03-18 00:00:00,452.14776301829227,38.06298169830144,839.9140203743445,744,2019-01-19 18:00:00
9,2019-03-25 00:00:00,1067.0215345633983,661.0065048151052,1469.7461226638866,706,2019-01-19 18:00:00
10,2019-04-01 00:00:00,1999.6129902674866,1624.7557532873875,2377.1296710052547,331,2019-01-19 18:00:00
11,2019-04-08 00:00:00,2669.2512350071174,2256.9027023312674,3079.309785288733,255,2019-01-19 18:00:00
12,2019-04-15 00:00:00,2547.6109455315614,2165.012717264998,2957.2629966794075,797,2019-01-19 18:00:00
13,2019-04-22 00:00:00,1754.0173998218193,1367.1932143444394,2151.1204601669388,1080,2019-01-19 18:00:00
14,2019-04-29 00:00:00,1024.1504062248582,638.5635136987263,1416.369479753042,1332,2019-01-19 18:00:00
15,2019-05-06 00:00:00,1002.0937099161448,633.9580361274203,1385.1370327533211,1027,2019-01-19 18:00:00
16,2019-05-13 00:00:00,1599.0498856208324,1188.8934959885967,1977.4502470866526,829,2019-01-19 18:00:00
17,2019-05-20 00:00:00,2134.3602448998126,1749.8091307363409,2524.377203414849,569,2019-01-19 18:00:00
18,2019-05-27 00:00:00,1530.5334374949364,1121.6321041103943,1921.0304863508277,929,2019-01-19 18:00:00
19,2019-06-03 00:00:00,1704.5202699024892,1291.2363489436873,2075.8003953419943,1071,2019-01-19 18:00:00
20,2019-06-10 00:00:00,1539.0668477543204,1151.4369738188664,1939.3722196121312,593,2019-01-19 18:00:00
21,2019-06-17 00:00:00,1874.7998712318497,1454.435538025872,2253.27149891028,696,2019-01-19 18:00:00
22,2019-06-24 00:00:00,2340.255024023302,1963.1768650322833,2741.993503867349,1385,2019-01-19 18:00:00
23,2019-07-01 00:00:00,2389.4038832347796,2006.3494427728285,2772.2218094693626,778,2019-01-19 18:00:00
24,2019-07-08 00:00:00,1951.165562698447,1558.533662047806,2342.8357524004714,844,2019-01-19 18:00:00
25,2019-07-15 00:00:00,1488.5311493740242,1102.241956677047,1853.8756245097068,1123,2019-01-19 18:00:00
26,2019-07-22 00:00:00,1427.689382352485,1066.8951674888588,1830.8610883758488,945,2019-01-19 18:00:00
27,2019-07-29 00:00:00,1668.7574665452719,1259.0740752228019,2018.5708176164687,1203,2019-01-19 18:00:00
28,2019-08-05 00:00:00,1757.2979264176436,1363.8284518840017,2148.4339496502303,1175,2019-01-19 18:00:00
29,2019-08-12 00:00:00,1475.5588648977887,1067.3034688975993,1890.7204274580338,773,2019-01-19 18:00:00
30,2019-08-19 00:00:00,1118.9541123193903,719.3947447837811,1521.1085903660132,744,2019-01-19 18:00:00
31,2019-08-26 00:00:00,1134.5921758555132,745.0319335976753,1523.8424048073814,494,2019-01-19 18:00:00
32,2019-09-02 00:00:00,1206.8055206533077,797.082096378791,1603.3161104530375,915,2019-01-19 18:00:00
33,2019-09-09 00:00:00,2037.4720882226572,1631.5650433075446,2418.1691322382812,927,2019-01-19 18:00:00
34,2019-09-16 00:00:00,2091.6010123373526,1685.9013627223603,2494.9061849307495,1096,2019-01-19 18:00:00
35,2019-09-23 00:00:00,1734.4345219008965,1350.1024333035862,2122.620422705134,1293,2019-01-19 18:00:00
36,2019-09-30 00:00:00,1300.8646952497013,916.8377682614297,1672.310586609608,1111,2019-01-19 18:00:00
37,2019-10-07 00:00:00,1045.2866326913313,643.3047201444697,1423.9043924419052,910,2019-01-19 18:00:00
38,2019-10-14 00:00:00,1185.2652050927386,778.4072766748902,1562.6218438539754,972,2019-01-19 18:00:00
39,2019-10-21 00:00:00,696.8106571982515,284.23037074286316,1088.0908293714078,1507,2019-01-19 18:00:00
40,2019-10-28 00:00:00,397.3689509035389,-6.866469852465048,775.21277747884,1347,2019-01-19 18:00:00
41,2019-11-04 00:00:00,184.46890297510197,-193.4101186297728,577.4586434973261,912,2019-01-19 18:00:00
42,2019-11-11 00:00:00,176.8011179798766,-214.62408098376912,557.3846421747287,717,2019-01-19 18:00:00
43,2019-11-18 00:00:00,276.4725732602891,-106.03010536292322,700.04217907301,427,2019-01-19 18:00:00
44,2019-11-25 00:00:00,304.06886881923845,-108.39907044917902,721.2213343510059,511,2019-01-19 18:00:00
45,2019-12-02 00:00:00,226.94019953097472,-174.6384012253545,612.676667951923,614,2019-01-19 18:00:00
46,2019-12-09 00:00:00,172.60231708170386,-223.0856130906808,565.38880941633,505,2019-01-19 18:00:00
47,2019-12-16 00:00:00,229.81183631352803,-185.26480717876478,651.9006369010525,324,2019-01-19 18:00:00
48,2019-12-23 00:00:00,325.00574212116135,-47.76548124938598,700.130298205403,119,2019-01-19 18:00:00
