Created,Passenger,ds,y
2018-05-20,6850,2018-05-20,6850
2018-05-21,7903,2018-05-21,7903
2018-05-22,8524,2018-05-22,8524
2018-05-23,15058,2018-05-23,15058
2018-05-24,6554,2018-05-24,6554
2018-05-25,5736,2018-05-25,5736
2018-05-26,5160,2018-05-26,5160
2018-05-27,4654,2018-05-27,4654
2018-05-28,5062,2018-05-28,5062
2018-05-29,6744,2018-05-29,6744
2018-05-30,8160,2018-05-30,8160
2018-05-31,6697,2018-05-31,6697
2018-06-01,7462,2018-06-01,7462
2018-06-02,7030,2018-06-02,7030
2018-06-03,6594,2018-06-03,6594
2018-06-04,7822,2018-06-04,7822
2018-06-05,7445,2018-06-05,7445
2018-06-06,9868,2018-06-06,9868
2018-06-07,7350,2018-06-07,7350
2018-06-08,7474,2018-06-08,7474
2018-06-09,6701,2018-06-09,6701
2018-06-10,6924,2018-06-10,6924
2018-06-11,7701,2018-06-11,7701
2018-06-12,7332,2018-06-12,7332
2018-06-13,9163,2018-06-13,9163
2018-06-14,7404,2018-06-14,7404
2018-06-15,7542,2018-06-15,7542
2018-06-16,6896,2018-06-16,6896
2018-06-17,6043,2018-06-17,6043
2018-06-18,7616,2018-06-18,7616
2018-06-19,7949,2018-06-19,7949
2018-06-20,9225,2018-06-20,9225
2018-06-21,7399,2018-06-21,7399
2018-06-22,6807,2018-06-22,6807
2018-06-23,6700,2018-06-23,6700
2018-06-24,6544,2018-06-24,6544
2018-06-25,7385,2018-06-25,7385
2018-06-26,6787,2018-06-26,6787
2018-06-27,8075,2018-06-27,8075
2018-06-28,6700,2018-06-28,6700
2018-06-29,6920,2018-06-29,6920
2018-06-30,6512,2018-06-30,6512
2018-07-01,5831,2018-07-01,5831
2018-07-02,6904,2018-07-02,6904
2018-07-03,7464,2018-07-03,7464
2018-07-04,6253,2018-07-04,6253
2018-07-05,6240,2018-07-05,6240
2018-07-06,6878,2018-07-06,6878
2018-07-07,6151,2018-07-07,6151
2018-07-08,6014,2018-07-08,6014
2018-07-09,6260,2018-07-09,6260
2018-07-10,6270,2018-07-10,6270
2018-07-11,7449,2018-07-11,7449
2018-07-12,6587,2018-07-12,6587
2018-07-13,6643,2018-07-13,6643
2018-07-14,6114,2018-07-14,6114
2018-07-15,5506,2018-07-15,5506
2018-07-16,8926,2018-07-16,8926
2018-07-17,9342,2018-07-17,9342
2018-07-18,7037,2018-07-18,7037
2018-07-19,6530,2018-07-19,6530
2018-07-20,6303,2018-07-20,6303
2018-07-21,6017,2018-07-21,6017
2018-07-22,5520,2018-07-22,5520
2018-07-23,7341,2018-07-23,7341
2018-07-24,6549,2018-07-24,6549
2018-07-25,7515,2018-07-25,7515
2018-07-26,6878,2018-07-26,6878
2018-07-27,6309,2018-07-27,6309
2018-07-28,5658,2018-07-28,5658
2018-07-29,4963,2018-07-29,4963
2018-07-30,7189,2018-07-30,7189
2018-07-31,7229,2018-07-31,7229
