Created,Passenger,ds,y
2019-11-28,8326,2019-11-28,8326
2019-11-29,18531,2019-11-29,18531
2019-11-30,13424,2019-11-30,13424
2019-12-01,9235,2019-12-01,9235
2019-12-02,17543,2019-12-02,17543
2019-12-03,15169,2019-12-03,15169
2019-12-04,9614,2019-12-04,9614
2019-12-05,8096,2019-12-05,8096
2019-12-06,7783,2019-12-06,7783
2019-12-07,7676,2019-12-07,7676
2019-12-08,6459,2019-12-08,6459
2019-12-09,8087,2019-12-09,8087
2019-12-10,8424,2019-12-10,8424
2019-12-11,9368,2019-12-11,9368
2019-12-12,7858,2019-12-12,7858
2019-12-13,7677,2019-12-13,7677
2019-12-14,8159,2019-12-14,8159
2019-12-15,6532,2019-12-15,6532
2019-12-16,8489,2019-12-16,8489
2019-12-17,5950,2019-12-17,5950
2019-12-18,9228,2019-12-18,9228
2019-12-19,6250,2019-12-19,6250
2019-12-20,5917,2019-12-20,5917
2019-12-21,5249,2019-12-21,5249
2019-12-22,4432,2019-12-22,4432
2019-12-23,5208,2019-12-23,5208
2019-12-24,3750,2019-12-24,3750
2019-12-25,3594,2019-12-25,3594
2019-12-26,5951,2019-12-26,5951
2019-12-27,6186,2019-12-27,6186
2019-12-28,5117,2019-12-28,5117
2019-12-29,3835,2019-12-29,3835
2019-12-30,4944,2019-12-30,4944
2019-12-31,4861,2019-12-31,4861
2020-01-01,4432,2020-01-01,4432
2020-01-02,5738,2020-01-02,5738
2020-01-03,6164,2020-01-03,6164
2020-01-04,5501,2020-01-04,5501
2020-01-05,4221,2020-01-05,4221
2020-01-06,5439,2020-01-06,5439
2020-01-07,4918,2020-01-07,4918
2020-01-08,5907,2020-01-08,5907
2020-01-09,5556,2020-01-09,5556
2020-01-10,5805,2020-01-10,5805
2020-01-11,5103,2020-01-11,5103
2020-01-12,3806,2020-01-12,3806
2020-01-13,5042,2020-01-13,5042
2020-01-14,5319,2020-01-14,5319
2020-01-15,5716,2020-01-15,5716
2020-01-16,5254,2020-01-16,5254
2020-01-17,5337,2020-01-17,5337
2020-01-18,4407,2020-01-18,4407
2020-01-19,3638,2020-01-19,3638
2020-01-20,4968,2020-01-20,4968
2020-01-21,5045,2020-01-21,5045
2020-01-22,6810,2020-01-22,6810
2020-01-23,4611,2020-01-23,4611
2020-01-24,427,2020-01-24,427
