2020-01-27,1076.0155278350433
2020-02-03,936.796885466615
2020-02-10,1062.3705085636234
2020-02-17,1468.8409018143109
2020-02-24,2134.2217036952666
2020-03-02,2882.0743963239033
2020-03-09,3702.016038835453
2020-03-16,4388.659388658806
2020-03-23,4580.427754451413
2020-03-30,4405.6801497976985
2020-04-06,4843.297481939076
2020-04-13,4842.633537999875
2020-04-20,4842.2520718044425
2020-04-27,4121.5038687372335
2020-05-04,3831.5099395818
2020-05-11,4790.004821098068
2020-05-18,4909.410170978732
2020-05-25,5599.475657854023
2020-06-01,5433.826822619743
2020-06-08,4994.9935411521565
2020-06-15,5496.17581077048
2020-06-22,5150.246911436794
2020-06-29,4124.822275446249
2020-07-06,3695.1084952361593
2020-07-13,4588.905394871676
2020-07-20,4594.263373704655
2020-07-27,4599.5000363134595
2020-08-03,4334.437701634902
2020-08-10,4002.363575091996
2020-08-17,4193.212973002316
2020-08-24,4189.525395793616
2020-08-31,3977.915994507613
2020-09-07,3481.850232538794
2020-09-14,3673.674346969376
2020-09-21,3279.6209047431516
2020-09-28,3100.1914441802296
2020-10-05,2403.1832980717722
2020-10-12,1906.3962738277544
2020-10-19,1831.5447244655259
2020-10-26,1781.503576598824
2020-11-02,1605.0939305132547
2020-11-09,1574.1278845403974
2020-11-16,1688.6779293882064
2020-11-23,1843.106232065193
2020-11-30,2176.832193898571
2020-12-07,2036.5311646998425
2020-12-14,1698.9923713921883
2020-12-21,1349.2596188633145
2020-12-28,1363.831400253066
2021-01-04,1385.191831759277
2021-01-11,1150.6762664242333
2021-01-18,1094.4443143721462
