Created,Trailer
2018-01-01,454.0
2018-01-08,509.0
2018-01-15,545.0
2018-01-22,605.3333333333334
2018-01-29,703.3333333333334
2018-02-05,823.3333333333334
2018-02-12,856.6666666666666
2018-02-19,1050.6666666666667
2018-02-26,1362.3333333333333
2018-03-05,2080.6666666666665
2018-03-12,2778.0
2018-03-19,3551.6666666666665
2018-03-26,4028.0
2018-04-02,4276.0
2018-04-09,4399.333333333333
2018-04-16,4316.333333333333
2018-04-23,4424.333333333333
2018-04-30,4167.333333333333
2018-05-07,3903.3333333333335
2018-05-14,3899.0
2018-05-21,4150.0
2018-05-28,4653.0
2018-06-04,4955.0
2018-06-11,5149.666666666667
2018-06-18,5165.333333333333
2018-06-25,4991.0
2018-07-02,4634.333333333333
2018-07-09,4062.6666666666665
2018-07-16,3703.3333333333335
2018-07-23,3863.6666666666665
2018-07-30,4221.333333333333
2018-08-06,4309.666666666667
2018-08-13,4101.333333333333
2018-08-20,3904.3333333333335
2018-08-27,3682.6666666666665
2018-09-03,3704.6666666666665
2018-09-10,3489.3333333333335
2018-09-17,3433.6666666666665
2018-09-24,3026.6666666666665
2018-10-01,3022.3333333333335
2018-10-08,2660.3333333333335
2018-10-15,2221.6666666666665
2018-10-22,1688.6666666666667
2018-10-29,1426.0
2018-11-05,1433.3333333333333
2018-11-12,1432.0
2018-11-19,1479.3333333333333
2018-11-26,1518.3333333333333
2018-12-03,1637.3333333333333
2018-12-10,1838.6666666666667
2018-12-17,1889.3333333333333
2018-12-24,1841.6666666666667
2018-12-31,1821.0
2019-01-07,2030.0
2019-01-14,2140.0
2019-01-21,2186.6666666666665
2019-01-28,2110.6666666666665
2019-02-04,1957.3333333333333
2019-02-11,1714.6666666666667
2019-02-18,1531.6666666666667
2019-02-25,1712.6666666666667
2019-03-04,1979.0
2019-03-11,2456.3333333333335
2019-03-18,2939.0
2019-03-25,3370.0
2019-04-01,3510.0
2019-04-08,3646.0
2019-04-15,3905.0
2019-04-22,4226.333333333333
2019-04-29,4165.666666666667
2019-05-06,3924.6666666666665
2019-05-13,3983.6666666666665
2019-05-20,4298.0
2019-05-27,4966.333333333333
2019-06-03,5128.0
2019-06-10,4961.333333333333
2019-06-17,4739.0
2019-06-24,4584.666666666667
2019-07-01,4331.333333333333
2019-07-08,3758.3333333333335
2019-07-15,3755.3333333333335
2019-07-22,4027.0
2019-07-29,4369.0
2019-08-05,4190.666666666667
2019-08-12,3983.6666666666665
2019-08-19,3927.3333333333335
2019-08-26,4122.666666666667
2019-09-02,4284.333333333333
2019-09-09,4196.0
2019-09-16,4049.6666666666665
2019-09-23,4016.0
2019-09-30,3926.3333333333335
2019-10-07,3500.3333333333335
2019-10-14,3040.0
2019-10-21,2708.0
2019-10-28,2590.3333333333335
2019-11-04,2416.6666666666665
2019-11-11,2171.6666666666665
2019-11-18,1918.6666666666667
2019-11-25,1829.3333333333333
2019-12-02,1930.6666666666667
2019-12-09,1872.3333333333333
2019-12-16,1675.6666666666667
2019-12-23,1320.0
2019-12-30,1179.6666666666667
2020-01-06,1217.0
2020-01-13,1348.0
2020-01-20,1274.6666666666667
